40 800
24 37 1 
-20 -31 15 
-3 39 35 
-7 37 2 
11 35 32 
-25 29 -21 
37 30 -22 
-20 1 29 
11 -19 -40 
39 29 -25 
-31 -38 -12 
24 -21 32 
-22 30 35 
-7 -8 -38 
15 10 -7 
-8 18 -23 
11 15 10 
2 -13 -23 
2 33 24 
32 -16 -16 
4 28 -21 
28 15 1 
24 -12 -40 
-25 29 -13 
-8 37 -23 
4 39 29 
-17 -7 -23 
36 6 33 
-12 -27 -13 
15 6 28 
-19 -16 -12 
-22 -19 -16 
-8 -12 1 
-27 33 4 
11 1 -40 
-21 32 -20 
-23 5 10 
36 2 -27 
-20 -16 39 
14 -16 -25 
-23 -17 35 
5 -13 -22 
-21 11 -22 
-21 -16 -19 
-23 -8 -40 
-40 -7 11 
37 -19 -40 
-25 6 -12 
4 -21 -19 
33 26 -13 
-31 2 -16 
-25 -31 -38 
6 26 9 
28 -7 1 
4 10 15 
26 11 39 
-12 18 -16 
-21 -22 29 
-40 -16 -38 
-12 -31 18 
24 -34 28 
2 30 -7 
2 32 1 
24 -22 -19 
26 6 1 
39 6 37 
11 15 -23 
-27 2 37 
10 -17 -40 
15 18 11 
-13 4 -21 
-34 2 30 
-17 -25 36 
-31 24 11 
28 -20 -34 
15 10 -12 
35 5 2 
-23 2 1 
33 18 -31 
-38 37 14 
-40 -20 6 
-21 28 36 
11 14 18 
15 -3 -23 
-21 18 30 
39 32 14 
14 -22 -22 
30 24 -21 
-7 30 -8 
29 -16 14 
4 -22 18 
-23 -34 -34 
-22 32 -34 
37 37 -22 
-34 -38 -17 
39 32 32 
-31 1 26 
37 36 -40 
39 -27 11 
6 -38 1 
6 24 32 
9 -31 -27 
-31 -8 -38 
2 -25 -19 
-27 -27 9 
28 32 -23 
-3 -38 33 
9 -21 10 
36 14 -3 
-7 -23 -8 
5 2 14 
4 -8 -21 
33 -17 29 
30 5 2 
37 37 10 
-23 32 15 
37 -19 26 
11 33 9 
-21 -31 -22 
-38 15 -25 
15 4 35 
2 1 -17 
5 30 10 
2 -40 -20 
32 -17 32 
-17 36 -25 
6 24 32 
6 -19 -31 
-22 -34 9 
18 -19 -22 
15 35 -25 
5 -16 36 
-23 -19 -12 
32 36 26 
1 2 36 
-3 -19 -38 
-16 -3 10 
11 35 29 
-22 4 -22 
-21 1 -25 
-17 4 -20 
-38 15 4 
35 28 -17 
-3 -25 1 
28 -40 -7 
-12 5 39 
-13 -23 -8 
30 39 -16 
-34 -17 9 
-38 11 36 
-21 11 36 
-31 -23 -8 
15 37 28 
-34 33 33 
26 -27 -17 
-12 4 -21 
-27 18 -3 
6 28 37 
18 -13 39 
-38 32 39 
24 -22 28 
36 39 -23 
-19 -23 15 
36 28 28 
-31 -19 30 
32 -31 -21 
39 -21 15 
26 39 -20 
30 -8 1 
15 -25 4 
-40 37 -7 
26 18 -38 
39 26 -16 
26 -31 37 
35 -31 36 
30 24 -7 
-27 -19 15 
4 -19 10 
-7 -20 -7 
33 10 6 
35 -22 -19 
-17 9 -7 
35 26 15 
-19 1 -38 
-22 -27 29 
-21 -17 -13 
37 -25 -27 
-3 -7 39 
-20 -34 33 
-31 15 -19 
5 18 -3 
-34 -38 -23 
36 39 -17 
29 1 -16 
-16 -27 36 
-21 -12 -25 
-25 37 -8 
-8 33 -3 
-40 -12 -19 
18 29 36 
26 33 11 
-22 -19 11 
-12 -23 4 
-40 -21 -31 
4 14 -27 
39 30 -8 
15 36 11 
-7 -21 24 
37 24 -13 
-31 6 39 
-13 39 33 
-13 37 29 
33 -13 30 
28 5 35 
-3 -40 33 
1 39 1 
26 -7 -22 
36 33 9 
39 29 28 
-40 15 -22 
-8 29 -12 
2 -21 4 
36 -23 -31 
6 30 -13 
11 -21 6 
-7 24 -12 
-23 24 -12 
1 -13 1 
-40 -40 4 
30 39 -13 
36 -19 30 
-19 -25 -40 
18 5 9 
35 9 -23 
-12 -17 6 
5 10 -20 
-27 26 -40 
-38 1 14 
24 -12 -21 
-7 -7 11 
1 -16 28 
-21 -12 -34 
14 36 2 
-7 6 -3 
37 30 -19 
-23 -23 39 
-22 -19 1 
9 1 -13 
-22 -12 15 
-20 -3 36 
10 -21 -17 
30 -25 24 
28 33 -3 
10 -40 -31 
32 -25 26 
15 -40 -27 
18 9 37 
5 32 37 
-40 -13 -21 
-8 -17 5 
-16 -3 -31 
39 6 -20 
-17 15 -3 
18 39 6 
-3 4 33 
-31 -19 -7 
35 18 1 
26 35 33 
33 -31 15 
35 1 -7 
24 -31 11 
-19 -19 -17 
-22 -13 -22 
24 32 -34 
-34 9 -25 
33 9 11 
32 -21 32 
6 32 -17 
15 6 -19 
-13 39 -40 
37 10 -34 
1 -38 -40 
36 30 -19 
-21 -17 1 
-7 -31 15 
-34 -23 26 
33 -38 -23 
15 -7 -17 
-25 1 35 
32 -20 -23 
-21 -23 2 
-25 -20 33 
37 6 18 
28 -13 -3 
-23 32 32 
-20 32 -27 
24 -23 36 
32 -25 15 
29 30 14 
-23 -25 36 
9 2 -16 
11 -13 5 
18 10 -12 
-40 -38 -23 
-20 -12 -3 
39 4 -19 
-38 -27 -38 
30 9 -40 
35 29 29 
18 -7 35 
-17 30 30 
-27 28 -20 
-8 28 11 
-12 -3 30 
-16 -27 5 
35 36 -13 
-7 -16 14 
-20 -25 29 
-34 5 4 
-7 -17 -8 
24 28 -27 
29 -12 33 
-21 -21 33 
4 28 -22 
29 -31 2 
-21 37 28 
-19 -23 -27 
29 -20 -27 
-21 -16 6 
18 18 37 
30 5 30 
18 10 9 
-22 4 35 
-7 6 39 
-17 -27 -27 
-8 37 -16 
-40 30 10 
2 11 39 
-20 2 4 
26 15 -16 
-12 -13 6 
-31 6 10 
-25 4 1 
32 -23 -25 
-19 1 -13 
26 -25 35 
-21 32 -40 
-17 36 14 
26 29 -23 
5 -31 -38 
37 33 -8 
33 -17 33 
-16 36 10 
36 -31 -8 
2 5 -3 
-25 35 -8 
-20 10 -19 
9 30 -8 
39 -8 5 
-38 10 18 
6 35 -8 
4 35 5 
10 -38 -23 
36 -16 9 
36 -20 11 
-40 -31 -23 
5 -23 39 
15 -20 -27 
-3 10 -3 
5 -21 -16 
-21 -3 37 
-22 -12 -25 
1 2 39 
35 -7 -38 
14 -16 33 
-8 -40 11 
4 1 -7 
6 33 37 
-3 11 4 
-3 14 39 
30 24 6 
24 37 5 
-34 -7 4 
-20 -38 4 
32 -25 6 
-38 1 -23 
-20 -17 -20 
-31 26 24 
-19 -16 -16 
-13 -21 15 
-20 2 29 
-25 28 6 
-21 24 -38 
-23 -3 -22 
30 -27 -38 
-22 33 11 
32 26 11 
32 29 -22 
29 37 37 
26 24 -19 
-40 -13 -8 
35 -17 9 
26 -17 4 
30 18 9 
6 15 -12 
39 -38 11 
24 -25 28 
-23 36 -23 
-3 39 -7 
30 -12 33 
2 28 2 
24 -3 15 
-22 26 5 
33 14 18 
10 18 28 
5 6 -12 
1 39 11 
-12 4 -31 
15 -38 -17 
4 14 32 
29 30 2 
-34 14 37 
37 37 -31 
26 24 -21 
-13 39 15 
-7 39 18 
15 37 -7 
1 5 -22 
-31 26 24 
28 33 10 
11 18 -17 
-8 -27 11 
39 28 29 
-7 10 -17 
2 10 37 
15 30 6 
29 -7 15 
6 -31 30 
14 32 6 
-12 -31 -8 
39 33 6 
-34 15 37 
35 35 -13 
-20 10 -23 
36 -16 -21 
5 -21 -19 
2 39 14 
9 -34 14 
-22 2 33 
-23 -13 -8 
4 26 -20 
-38 6 5 
-17 -19 24 
5 -3 4 
28 -13 6 
11 -34 9 
15 10 -19 
33 5 10 
1 -21 37 
28 -40 6 
-8 4 -7 
-40 32 -31 
1 10 30 
-16 -7 -8 
9 36 11 
-20 24 -40 
39 -19 30 
10 -25 39 
32 -17 -3 
11 4 -7 
-34 -19 -21 
33 -38 -16 
-7 32 32 
11 29 4 
-27 -20 9 
-13 -3 11 
-23 5 5 
15 37 1 
14 -23 28 
-22 39 -3 
-7 29 -13 
-22 24 9 
-23 32 4 
28 32 -3 
-3 -7 5 
33 -16 -19 
-21 -19 37 
18 26 -23 
32 28 1 
2 -25 -13 
30 9 32 
28 30 5 
-20 -12 24 
-7 4 37 
9 -31 9 
-16 30 4 
9 39 6 
36 26 -17 
-16 9 -25 
39 24 6 
37 -20 -40 
14 39 -7 
-23 37 -27 
10 -19 2 
26 -13 4 
-17 37 -27 
9 -17 9 
-25 -22 -27 
